Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
81	63.993835	64.73609	 	 	 	 	 	 	 	63.20552	35.27914	 	 	 	 	 	 	 	 	 	 
82	63.989204	64.72858	 	 	 	 	 	 	 	63.58046	35.333332	 	 	 	 	 	 	 	 	 	 
83	63.9938	64.73989	 	 	 	 	 	 	 	63.244186	35.447674	 	 	 	 	 	 	 	 	 	 
84	63.989517	64.718445	 	 	 	 	 	 	 	63.271427	35.517143	 	 	 	 	 	 	 	 	 	 
85	63.98698	64.74634	 	 	 	 	 	 	 	63.00625	34.8875	 	 	 	 	 	 	 	 	 	 
86	63.97581	64.387344	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
87	63.96905	64.37243	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88	63.959297	64.396576	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
89	63.96461	64.38737	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
90	63.954933	64.44257	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
91	63.9708	64.39953	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
92	63.977306	64.46819	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
93	63.965805	64.42103	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
94	63.96159	64.41916	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
95	63.938633	64.47578	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
96	63.91259	64.75264	 	 	 	 	 	 	 	 	 	 	65.23077	31.97436	 	 	 	 	 	 	 
97	63.910343	64.75516	 	 	 	 	 	 	 	 	 	 	65.8481	32.253166	 	 	 	 	 	 	 
98	63.9103	64.764786	 	 	 	 	 	 	 	 	 	 	66.33908	32.41379	 	 	 	 	 	 	 
99	63.88909	64.83417	 	 	 	 	 	 	 	 	 	 	67.02597	31.61039	 	 	 	 	 	 	 
100	63.865913	64.76236	 	 	 	 	 	 	 	 	 	 	67.80675	31.334356	 	 	 	 	 	 	 
101	63.863518	64.81511	 	 	 	 	 	 	 	 	 	 	67.837425	32.05828	 	 	 	 	 	 	 
102	63.872902	64.80826	 	 	 	 	 	 	 	 	 	 	67.51183	32.760357	 	 	 	 	 	 	 
103	63.879543	64.8096	 	 	 	 	 	 	 	 	 	 	67.303925	33.898693	 	 	 	 	 	 	 
104	63.89072	64.75719	 	 	 	 	 	 	 	 	 	 	66.51316	34.20395	 	 	 	 	 	 	 
105	63.901886	64.720726	 	 	 	 	 	 	 	 	 	 	66.5814	33.36628	 	 	 	 	 	 	 
106	63.90075	64.74329	 	 	 	 	 	 	 	 	 	 	66.84503	33.69298	 	 	 	 	 	 	 
107	63.873905	64.783806	 	 	 	 	 	 	 	 	 	 	67.83951	33.82716	 	 	 	 	 	 	 
108	63.845654	64.809944	 	 	 	 	 	 	 	 	 	 	68.73418	33.322784	 	 	 	 	 	 	 
109	63.833313	64.75144	 	 	 	 	 	 	 	 	 	 	69.05029	32.849113	 	 	 	 	 	 	 
110	63.89048	64.41632	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
111	63.88149	64.38044	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
112	63.855984	64.443695	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
113	63.87637	64.37436	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
114	63.88723	64.37329	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
115	63.885323	64.38062	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
116	63.88036	64.40186	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
117	63.887283	64.41152	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
118	63.83686	64.73232	 	 	 	 	 	 	 	 	 	 	 	 	 	69.10947	36.233727	 	 	 	 
119	63.847202	64.72921	 	 	 	 	 	 	 	 	 	 	 	 	 	68.81138	36.236526	 	 	 	 
120	63.844044	64.72521	 	 	 	 	 	 	 	 	 	 	 	 	 	69.064415	36.518406	 	 	 	 
121	63.817417	64.714455	 	 	 	 	 	 	 	 	 	 	 	 	 	69.88312	37.266235	 	 	 	 
122	63.80696	64.69652	 	 	 	 	 	 	 	 	 	 	 	 	 	70.51183	37.73077	 	 	 	 
123	63.774807	64.71905	 	 	 	 	 	 	 	 	 	 	 	 	 	71.1129	38.041935	 	 	 	 
124	63.778706	64.69366	 	 	 	 	 	 	 	 	 	 	 	 	 	71.089745	38.26282	 	 	 	 
125	63.778336	64.67401	 	 	 	 	 	 	 	 	 	 	 	 	 	71.18125	38.125	 	 	 	 
126	63.73965	64.69406	 	 	 	 	 	 	 	 	 	 	 	 	 	72.42105	37.44079	 	 	 	 
127	63.72829	64.672676	 	 	 	 	 	 	 	 	 	 	 	 	 	73.66868	37.04819	 	 	 	 
128	63.73148	64.68869	 	 	 	 	 	 	 	 	 	 	 	 	 	73.5184	36.751534	 	 	 	 
129	63.73788	64.70838	 	 	 	 	 	 	 	 	 	 	 	 	 	72.70497	37.065216	 	 	 	 
130	63.766438	64.65327	 	 	 	 	 	 	 	 	 	 	 	 	 	71.954544	37.512123	 	 	 	 
131	63.856003	64.34321	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
132	63.860035	64.33361	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
133	63.867115	64.34541	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
134	63.849545	64.374886	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
135	63.86209	64.36608	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
136	63.8558	64.38663	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
137	63.851097	64.38803	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
138	63.85901	64.419876	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
139	63.862823	64.432144	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
140	63.848022	64.48465	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
141	63.868423	64.447395	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
142	63.851063	64.47393	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
143	63.860058	64.43738	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
144	63.857735	64.418495	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
145	63.8749	64.3525	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
146	63.87057	64.40234	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
147	63.881264	64.39271	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
148	63.88182	64.4086	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
149	63.874805	64.41478	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
150	63.864155	64.440155	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
151	63.850784	64.410164	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
152	63.84951	64.427666	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
153	63.86864	64.41131	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
154	63.891785	64.37946	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
155	63.9039	64.3567	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
156	63.913612	64.34065	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
157	63.909203	64.32379	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
158	63.90767	64.3305	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
159	63.902477	64.34577	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
160	63.89615	64.32672	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
161	63.887245	64.355736	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
162	63.89317	64.31158	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
163	63.89249	64.31263	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
