Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
157	61.512238	64.27304	 	 	 	 	 	 	 
158	61.450222	64.29399	 	 	 	 	 	 	 
159	61.453613	64.20606	 	 	 	 	 	 	 
160	61.414707	64.22166	 	 	 	 	 	 	 
161	61.441845	64.28255	 	 	 	 	 	 	 
162	61.483814	64.27288	 	 	 	 	 	 	 
163	61.41969	64.23367	 	 	 	 	 	 	 
164	61.50219	64.29252	 	 	 	 	 	 	 
165	61.470043	64.23573	 	 	 	 	 	 	 
166	61.447395	64.25253	 	 	 	 	 	 	 
167	61.46756	64.280655	 	 	 	 	 	 	 
168	61.442467	64.229195	 	 	 	 	 	 	 
169	61.46658	64.26226	 	 	 	 	 	 	 
170	61.5297	64.307175	 	 	 	 	 	 	 
171	61.350254	64.20297	 	 	 	 	 	 	 
172	61.347443	64.23741	 	 	 	 	 	 	 
173	61.376606	64.24262	 	 	 	 	 	 	 
174	61.44184	64.27497	 	 	 	 	 	 	 
175	61.378128	64.18986	 	 	 	 	 	 	 
176	61.51727	64.30651	 	 	 	 	 	 	 
177	61.514496	64.28237	 	 	 	 	 	 	 
178	61.339813	64.2011	 	 	 	 	 	 	 
179	61.328087	64.17864	 	 	 	 	 	 	 
180	61.419975	64.19089	 	 	 	 	 	 	 
181	61.435818	64.19629	 	 	 	 	 	 	 
182	61.432102	64.23989	 	 	 	 	 	 	 
183	61.32878	64.178795	 	 	 	 	 	 	 
184	61.389355	64.301674	 	 	 	 	 	 	 
185	61.451283	64.26145	 	 	 	 	 	 	 
186	61.365437	64.25784	 	 	 	 	 	 	 
187	61.509018	64.30439	 	 	 	 	 	 	 
188	61.51977	64.29102	 	 	 	 	 	 	 
189	61.47884	64.28922	 	 	 	 	 	 	 
190	61.46325	64.22964	 	 	 	 	 	 	 
191	61.473736	64.24021	 	 	 	 	 	 	 
192	61.472576	64.31035	 	 	 	 	 	 	 
193	61.504383	64.28975	 	 	 	 	 	 	 
194	61.537403	64.24345	 	 	 	 	 	 	 
195	61.52448	64.270744	 	 	 	 	 	 	 
196	61.42404	64.18382	 	 	 	 	 	 	 
197	61.48251	64.19638	 	 	 	 	 	 	 
198	61.48942	64.23807	 	 	 	 	 	 	 
199	61.525284	64.22676	 	 	 	 	 	 	 
200	61.532352	64.221	 	 	 	 	 	 	 
