Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8
Tracks 1 to 8
71	63.66199	64.01222	 	 	 	 	80.9875	62.3375	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
72	63.64549	64.0042	 	 	 	 	81.11539	61.974358	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
73	63.61167	64.03699	 	 	 	 	81.708336	61.01389	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
74	63.621796	64.03504	 	 	 	 	82.64286	61.512985	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
75	63.6159	64.00286	 	 	 	 	82.20238	62.52381	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
76	63.640335	63.984673	 	 	 	 	82.5	63.129215	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
77	63.61077	63.98827	 	 	 	 	82.6358	63.9321	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78	63.613346	63.960415	 	 	 	 	81.73943	65.06338	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
79	63.65087	63.940174	 	 	 	 	81.12963	64.919754	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
80	63.647938	63.952274	 	 	 	 	80.75974	65.64286	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
81	63.6705	63.957886	 	 	 	 	80.24117	65.73529	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
82	63.697388	63.9597	 	 	 	 	79.488235	64.935295	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
83	63.70634	63.913116	 	 	 	 	79.39011	64.80769	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
84	63.664276	63.909664	 	 	 	 	80.06962	64.803795	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
85	63.65091	63.90963	 	 	 	 	80.79269	65.51219	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
86	63.64154	63.90319	 	 	 	 	80.26744	66.51163	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
87	63.67478	63.878704	 	 	 	 	79.639534	66.76744	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88	63.691948	63.89118	 	 	 	 	79.025	66.975	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
89	63.68992	63.88158	 	 	 	 	79.04667	67.36667	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
90	63.687202	63.808056	 	 	 	 	78.97143	67.92857	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
91	63.658867	63.87791	 	 	 	 	79.60526	68.197365	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
92	63.685863	63.89344	 	 	 	 	80.20731	67.65854	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
93	63.68152	63.905846	 	 	 	 	79.52702	67.16216	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
94	63.703945	63.893265	 	 	 	 	78.81396	67.23256	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
95	63.674953	63.907578	 	 	 	 	79.486664	68.00667	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
96	63.669	63.89122	 	 	 	 	80.40476	68.60714	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
97	63.659714	63.869053	 	 	 	 	80.07534	67.678085	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98	63.66632	63.592	 	 	 	 	80.109375	68.296875	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
99	63.677513	63.893852	 	 	 	 	79.72388	67.470146	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
100	63.75107	63.881504	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
101	63.713524	63.88964	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
102	63.67688	63.866577	 	 	 	 	 	 	 	78.74074	70.35185	 	 	 	 	 	 	 	 	 	 	 	 	 
103	63.694614	63.822056	 	 	 	 	 	 	 	78.59677	71.048386	 	 	 	 	 	 	 	 	 	 	 	 	 
104	63.64152	63.81844	 	 	 	 	 	 	 	79.73077	70.57692	 	 	 	 	 	 	 	 	 	 	 	 	 
105	63.676453	63.842953	 	 	 	 	 	 	 	80.310814	70.37838	 	 	 	 	 	 	 	 	 	 	 	 	 
106	63.64444	63.85422	 	 	 	 	 	 	 	80.66418	71.08209	 	 	 	 	 	 	 	 	 	 	 	 	 
107	63.750557	63.89315	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108	63.650837	63.835823	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
109	63.72064	63.83914	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
110	63.724335	63.84149	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
111	63.74802	63.839027	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
112	63.746086	63.85164	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
113	63.763485	63.788467	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
114	63.752247	63.787468	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
115	63.737476	63.83835	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
116	63.744766	63.828854	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
117	63.730213	63.78736	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
118	63.71897	63.792374	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
119	63.72553	63.79134	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
120	63.704292	63.803482	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
121	63.788773	63.86851	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
122	63.721592	63.790104	 	 	 	 	 	 	 	 	 	 	78.84091	72.72727	 	 	 	 	 	 	 	 	 	 
123	63.69078	63.80555	 	 	 	 	 	 	 	 	 	 	79.03846	73.21795	 	 	 	 	 	 	 	 	 	 
124	63.679897	63.812454	 	 	 	 	 	 	 	 	 	 	78.77536	72.63043	 	 	 	 	 	 	 	 	 	 
125	63.67214	63.795822	 	 	 	 	 	 	 	 	 	 	77.81035	71.86207	 	 	 	 	 	 	 	 	 	 
126	63.75373	63.883816	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
127	63.71786	63.829426	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
128	63.692898	63.79388	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
129	63.669003	63.79592	 	 	 	 	 	 	 	 	 	 	 	 	 	80.38	72.4	 	 	 	 	 	 	 
130	63.646023	63.841007	 	 	 	 	 	 	 	 	 	 	 	 	 	81.19355	72.16129	 	 	 	 	 	 	 
131	63.63462	63.82168	 	 	 	 	 	 	 	 	 	 	 	 	 	81.58108	72.71622	 	 	 	 	 	 	 
132	63.64624	63.805912	 	 	 	 	 	 	 	 	 	 	 	 	 	81.344154	73.46104	 	 	 	 	 	 	 
133	63.726173	63.86966	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
134	63.68959	63.823605	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
135	63.706066	63.875496	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
136	63.71061	63.857456	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
137	63.709843	63.801872	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
138	63.64617	63.831406	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	81.69718	72.21831	 	 	 	 
139	63.645115	63.829727	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	81.5	71.58451	 	 	 	 
140	63.67375	63.782326	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	81.30597	71.11194	 	 	 	 
141	63.619297	63.84805	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	82.140625	71.359375	 	 	 	 
142	63.72589	63.885136	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
143	63.654	63.87407	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
144	63.68127	63.87531	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
145	63.598686	63.88086	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	83.17273	67.718185	 
